Date,Open,High,Low,Close
1/1/2024,111.8,114.56,110.26,113.26
1/8/2024,112.5,115.72,111.4,111.98
1/15/2024,112.18,112.4,106.44,106.88
1/22/2024,107.5,117.62,107.24,115.34
1/29/2024,115.0,120.98,114.22,119.8
2/5/2024,120.14,120.26,116.56,118.58
2/12/2024,118.5,120.82,117.1,119.66
2/19/2024,119.72,124.02,117.46,124.0
2/26/2024,123.76,128.18,116.38,119.16
3/4/2024,119.72,121.26,114.72,116.5
3/11/2024,116.14,121.62,112.28,113.78
3/18/2024,114.6,119.36,114.3,118.08
3/25/2024,118.02,123.3,118.02,122.84
4/1/2024,122.2,128.6,121.8,126.4
4/8/2024,127.0,127.95,122.3,123.7
4/15/2024,123.8,125.6,119.6,121.2
4/22/2024,121.75,122.05,117.5,120.1
4/29/2024,120.5,121.35,113.9,115.5
5/6/2024,116.25,118.45,116.2,116.95
5/13/2024,117.4,122.75,117.2,120.4
5/20/2024,119.5,120.45,116.8,118.45
5/27/2024,119.5,123.95,112.2,115.0
6/3/2024,115.6,116.35,111.65,112.6
6/10/2024,112.05,112.35,104.05,104.5
6/17/2024,105.05,106.2,103.8,104.7
6/24/2024,105.2,108.2,103.35,105.4
7/1/2024,106.8,108.45,104.4,106.85
7/8/2024,107.0,108.9,104.2,108.55
7/15/2024,108.3,108.45,105.25,105.6
7/22/2024,105.7,107.1,102.15,104.8
7/29/2024,105.35,105.85,96.44,96.86
8/5/2024,95.12,96.18,92.2,93.94
8/12/2024,94.22,95.72,92.44,95.26
8/19/2024,95.7,97.5,95.36,97.0
8/26/2024,97.02,97.82,95.8,96.18
9/2/2024,96.44,98.7,91.38,92.0
9/9/2024,92.28,93.08,87.72,92.38
9/16/2024,92.04,95.54,90.56,90.82
9/23/2024,90.9,98.12,90.32,97.12
9/30/2024,97.0,97.34,90.92,93.98
10/7/2024,94.22,94.48,91.68,92.64
10/14/2024,92.72,93.18,90.52,91.92
10/21/2024,91.6,95.8,90.68,92.28
10/28/2024,93.42,93.72,87.5,88.5
11/4/2024,88.28,89.76,82.36,84.14
11/11/2024,84.78,85.18,80.58,83.98
11/18/2024,84.0,84.92,79.86,81.8
11/25/2024,81.8,81.8,78.86,80.72
12/2/2024,79.86,81.28,79.22,81.28
